deal_id,date,response,target_us,target_tw,notes
1,19890101,0,,,
2,19900726,0,,,
3,19900906,0,,,
4,19910107,0,,,
5,19910724,0,,,
6,19910913,0,,,
7,19911118,0,,,
8,19920527,0,,,
9,19920804,0,,,
10,19920914,4,1,0,
11,19930617,0,,,
12,19930729,0,,,
13,19930801,0,,,
14,19930908,0,,,
15,19931104,0,,,
16,19931123,0,,,
17,19940801,0,,,
18,19940914,0,,,
19,19950323,0,,,
29,19950607,0,,,
21,19960510,0,,,
22,19960523,0,,,
23,19960624,1,0,1,
24,19960823,0,,,
25,19960905,0,,,
26,19970214,0,,,
27,19970523,0,,,
28,19970724,0,,,
29,19970903,0,,,
30,19971109,0,,,
31,19980128,0,,,
32,19980601,0,,,
33,19980827,1,0,1,
34,19981009,0,,,
35,19990526,1,1,0,
36,19990730,3,1,1,
37,20000302,2,1,1,
38,20000607,0,0,0,
39,20000928,3,1,1,
46,20010424,4,1,1,incomplete until 2002; http://www.cnn.com/2001/ALLPOLITICS/04/23/bush.taiwan.03/index.html
40,20010718,0,,,
41,20010905,0,,,
42,20011026,0,,,
43,20020604,1,0,1,
44,20020904,0,,,
45,20021011,0,,,
46,20021121,0,,,
47,20030924,0,,,
48,20040330,1,1,1,
49,20051025,0,,,
50,20070228,0,,,
51,20070808,0,,,
52,20070912,2,1,1,
53,20071109,2,1,1,
54,20081003,2,1,0,
55,20100129,5,1,0,http://www.china-embassy.org/eng/xw/t656463.htm; https://www.latimes.com/archives/la-xpm-2010-jan-31-la-fg-china-taiwan31-2010jan31-story.html
56,20110921,4,1,0,"“U.S. arms sale to Taiwan will disrupt military exchanges, joint drills” Embassy of the PRC in the USA, September 28, 2011, at us.china-embassy.org/eng/zt/twwt/t863390.htm."
57,20151216,5,1,0,https://www.nytimes.com/2015/12/18/world/asia/taiwan-arms-sales-us-china.html
58,20170629,2,1,0,
59,20180924,3,1,1,
60,20190415,3,1,1,
61,20190708,5,1,1,
62,20190820,6,1,1,